component_id,project_id,component_name_raw,component_name_normalized,component_category_raw,component_category_normalized,alternative_group_id,variant_label_raw,selection_status,historical_subtotal,currency_code,price_effective_date,status_codes,notes,source_container,source_file,source_sheet_or_section,source_row_or_range,source_value_raw,source_formula,source_formula_cell
C-20240801-7958F2A2A13E54EB,P-2024-08-01,Стоимость Материала+кромка,Материал и кромка,Стоимость Материала+кромка,legacy_calculation,,,not_applicable,172462.7313,,,derived;historical_price,Исторический subtotal старой расчетной модели; валюта и дата действия цены не подтверждены.,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кукня_01.08.24.xls,Расчет,I107:J107,"{""I107"":"" Стоимость Материала+кромка "",""J107"":""                          172 462,73р. ""}",=SUM(K5:K104)+Данные!C103,Расчет!J107
C-20240801-4B7CD5B2A18B9279,P-2024-08-01,Стоимость Работ,Работы по деталям,Стоимость Работ,legacy_calculation,,,not_applicable,22240,,,derived;historical_price,Исторический subtotal старой расчетной модели; валюта и дата действия цены не подтверждены.,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кукня_01.08.24.xls,Расчет,I108:J108,"{""I108"":"" Стоимость Работ "",""J108"":""                            22 240,00р. ""}","=SUM(M5:M104,O5:O104)",Расчет!J108
C-20240801-5508C98FCDF1C96B,P-2024-08-01,Стоимость Монтажа и т. п.,Монтаж и прочие работы,Стоимость Монтажа и т. п.,installation,,,not_applicable,38150,,,derived;historical_price,Исторический subtotal старой расчетной модели; валюта и дата действия цены не подтверждены.,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кукня_01.08.24.xls,Расчет,I109:J109,"{""I109"":"" Стоимость Монтажа и т. п. "",""J109"":""                            38 150,00р. ""}",=SUM(N114:O161),Расчет!J109
C-20240801-007BEBEBFC677E17,P-2024-08-01,Стоимость Фурнитуры,Фурнитура,Стоимость Фурнитуры,hardware,,,not_applicable,129520,,,derived;historical_price,Исторический subtotal старой расчетной модели; валюта и дата действия цены не подтверждены.,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кукня_01.08.24.xls,Расчет,I110:J110,"{""I110"":"" Стоимость Фурнитуры "",""J110"":""129 520,00р.""}",=SUM(I115:I144),Расчет!J110
